,longitude,latitude,route,station_id
2,-111.9393222,40.69661892,171,354
3,-111.9145864,40.84610328,15,616
4,-112.0298341,40.60345203,85,634
5,-111.98156,40.71172095,154,711
6,-111.9524015,40.67443965,215,637
7,-111.9764032,40.61118492,154,627
8,-111.9246915,40.8339477,215,628
9,-111.9423015,40.84090943,67,624
10,-111.9491676,40.81797352,215,501
11,-111.934125,40.7654902,80,340
12,-111.9039702,40.7078741,15,629
13,-111.9171165,40.67346657,266,631
14,-111.9531509,40.70329655,215,353
15,-111.914013,40.63625898,215,351
16,-111.9024954,40.59285859,15,630
17,-111.8909543,40.5066782,15,302
20,-111.8307583,40.75125603,186,332
21,-111.8739796,40.71825875,80,341
23,-111.8700457,40.66717308,71,406
25,-111.7862848,40.61910527,190,322
26,-111.7738168,40.57209582,210,317
28,-111.910908,40.46766263,15,635
29,-111.8907721,40.43112739,15,674
31,-111.943253,40.38578571,73,626
32,-111.8497656,40.40104118,15,673
33,-111.838917,40.43208856,92,675
36,-111.8281822,40.3770632,145,632
37,-111.7929223,40.36520971,15,671
38,-111.7492034,40.33719731,15,670
40,-111.7261606,40.3164065,15,641
43,-111.6956645,40.2511536,15,306
45,-111.6586115,40.24949711,189,659
47,-111.6654144,40.21569696,15,668
48,-111.6464739,40.17615888,15,667